doc_id,answer_id,question_id,title,question_body,answer_body,tags,answer_score,accepted_answer,comment_count,question_view_count,answer_count,owner_user_id,question_owner_user_id,commenter_user_ids,author_reputation,creation_date,last_activity_date,source,url,aspect,combined_text,age_days,retrieval_score,rank,run,topical_score,community_score,engagement_score,credibility_score,author_influence_score,freshness_score,tag_match_score,sentiment_alignment_score,clarity_score,technical_score,risk_warning_score,final_score
sample-a1025,1025,512,What should I do if I think an investment is a scam?,Community question about what should i do if i think an investment is a scam?,"Stop sending money, preserve all records, verify registration with the regulator, and report the suspected fraud.",scam fraud risk investing,43,True,1,39073,2,303,413,413,35000,2024-08-15 00:00:00+00:00,2024-08-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/512#answer-1025,risk,"What should I do if I think an investment is a scam? Community question about what should i do if i think an investment is a scam? Stop sending money, preserve all records, verify registration with the regulator, and report the suspected fraud. scam fraud risk investing",657,18.327747802350743,1,social_default,1.0,0.8727313075427394,0.39857611577887336,0.9585578348810901,0.6058366294295915,0.4065696597405991,0.08333333333333333,1.0,0.3368587521031371,0.25,0.75,0.8396852905069712
sample-a1026,1026,512,What should I do if I think an investment is a scam?,Community question about what should i do if i think an investment is a scam?,Guaranteed high returns and pressure to act fast are classic warning signs; a cautious answer beats optimism here.,scam fraud risk investing,29,False,1,39073,2,303,413,413,35000,2025-06-15 00:00:00+00:00,2025-06-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/512#answer-1026,risk,What should I do if I think an investment is a scam? Community question about what should i do if i think an investment is a scam? Guaranteed high returns and pressure to act fast are classic warning signs; a cautious answer beats optimism here. scam fraud risk investing,353,18.17613354702533,2,social_default,0.9917276112176769,0.27272132065829097,0.39857611577887336,0.9585578348810901,0.6058366294295915,0.616583425826371,0.08333333333333333,1.0,0.32462763006570405,0.25,1.0,0.7620483862562755
sample-a1027,1027,513,How do I avoid investment fraud?,Community question about how do i avoid investment fraud?,"Check the seller's registration, be sceptical of guaranteed returns, and never let urgency rush a decision.",scam fraud risk,40,True,3,41838,2,303,414,414 302,35000,2023-12-15 00:00:00+00:00,2023-12-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/513#answer-1027,risk,"How do I avoid investment fraud? Community question about how do i avoid investment fraud? Check the seller's registration, be sceptical of guaranteed returns, and never let urgency rush a decision. scam fraud risk",901,10.770478600057267,3,social_default,0.5876596904435705,0.8420939373703941,0.6189146254314809,0.9585578348810901,0.6058366294295915,0.29105396701581177,0.09090909090909091,0.9,0.41257743929427604,0.0,1.0,0.6320492177263329
sample-a1016,1016,508,What records do I need for investment taxes?,Community question about what records do i need for investment taxes?,"Keep trade confirmations, cost basis, dividend statements and broker 1099s; reconstruct basis before you sell.",tax investing capital-gains,54,True,8,16973,2,302,409,409 303,38000,2024-11-15 00:00:00+00:00,2024-11-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/508#answer-1016,tax,"What records do I need for investment taxes? Community question about what records do i need for investment taxes? Keep trade confirmations, cost basis, dividend statements and broker 1099s; reconstruct basis before you sell. tax investing capital-gains",565,7.325079143759249,4,social_default,0.39967153753718304,0.9695419433788933,0.7279298709930571,0.9800976854573569,0.6073397326783032,0.46117735003146915,0.0,1.0,0.3742064206407163,0.5,0.0,0.5732278967268634
sample-a1024,1024,511,What fees matter when choosing an ETF?,Community question about what fees matter when choosing an etf?,A 0.5% vs 0.05% expense ratio compounds into a large gap over decades.,etf investing fees,44,True,3,45144,2,301,412,412 303 302,41000,2023-11-15 00:00:00+00:00,2023-11-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/511#answer-1024,investing,What fees matter when choosing an ETF? Community question about what fees matter when choosing an etf? A 0.5% vs 0.05% expense ratio compounds into a large gap over decades. etf investing fees,931,5.919132064439174,5,social_default,0.32296014372698745,0.8824811365262734,0.6304340248977591,1.0,1.0,0.27933528906869687,0.0,0.6,1.0,0.5,0.0,0.5168202369244724
sample-a1046,1046,522,How do I budget on an irregular income?,Community question about how do i budget on an irregular income?,Separate fixed bills from variable spending so lean months are predictable.,budgeting saving emergency-fund,49,True,8,37644,2,302,423,423 301,38000,2023-07-15 00:00:00+00:00,2023-07-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/522#answer-1046,saving,How do I budget on an irregular income? Community question about how do i budget on an irregular income? Separate fixed bills from variable spending so lean months are predictable. budgeting saving emergency-fund,1054,4.673749890588433,6,social_default,0.25500950476790013,0.9281917046909638,0.8485784963882705,0.9800976854573569,0.6073397326783032,0.23602073528515033,0.0,0.6,0.9046942162985561,0.0,0.0,0.47108893371230853
sample-a1028,1028,513,How do I avoid investment fraud?,Community question about how do i avoid investment fraud?,"If you cannot independently verify where returns come from, treat it as a red flag.",scam fraud risk,37,False,0,41838,2,303,414,,35000,2025-02-15 00:00:00+00:00,2025-02-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/513#answer-1028,risk,"How do I avoid investment fraud? Community question about how do i avoid investment fraud? If you cannot independently verify where returns come from, treat it as a red flag. scam fraud risk",473,7.222872478031164,7,social_default,0.3940949294983614,0.3752783866104465,0.19895013277015183,0.9585578348810901,0.6058366294295915,0.523119576403576,0.09090909090909091,1.0,0.7645318792403784,0.0,1.0,0.46131807105704425
sample-a1013,1013,506,Should I refinance my mortgage?,Community question about should i refinance my mortgage?,Watch the term reset: lowering the rate but restarting 30 years can raise total interest paid.,mortgage refinance interest-rate,56,True,4,25690,2,301,407,407 303 302,41000,2025-06-15 00:00:00+00:00,2025-06-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/506#answer-1013,mortgage,Should I refinance my mortgage? Community question about should i refinance my mortgage? Watch the term reset: lowering the rate but restarting 30 years can raise total interest paid. mortgage refinance interest-rate,353,1.1019874910516068,8,social_default,0.060126727131757256,0.9850382024784291,0.6126435966544644,1.0,1.0,0.616583425826371,0.0,0.9,0.5921918097809603,0.0,0.0,0.43055649900344517
sample-a1009,1009,504,Where should I keep my emergency savings?,Community question about where should i keep my emergency savings?,"Split it: one month in checking for instant access, the rest in a high-yield account.",saving emergency-fund risk,52,True,7,24280,2,301,405,405 302,41000,2022-09-15 00:00:00+00:00,2022-09-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/504#answer-1009,saving,"Where should I keep my emergency savings? Community question about where should i keep my emergency savings? Split it: one month in checking for instant access, the rest in a high-yield account. saving emergency-fund risk",1357,1.0811282531714723,9,social_default,0.05898860377338918,0.9534716198475409,0.7464766845578532,1.0,1.0,0.1558433240245538,0.0,1.0,0.7315784865748318,0.0,0.25,0.4155610959400492
sample-a1042,1042,520,How do I start investing with little money?,Community question about how do i start investing with little money?,"Many brokers allow fractional shares, so you can begin with very small amounts.",investing etf beginner,42,True,2,42853,2,301,421,421 303,41000,2024-10-15 00:00:00+00:00,2024-10-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/520#answer-1042,investing,"How do I start investing with little money? Community question about how do i start investing with little money? Many brokers allow fractional shares, so you can begin with very small amounts. investing etf beginner",596,1.709788543981761,10,social_default,0.09328961541922032,0.8627573250377909,0.5353948697678166,1.0,1.0,0.4420031120180599,0.0,0.6,0.8328602876910742,0.5,0.0,0.40165468100187285
