doc_id,answer_id,question_id,title,question_body,answer_body,tags,answer_score,accepted_answer,comment_count,question_view_count,answer_count,owner_user_id,author_reputation,creation_date,last_activity_date,source,url,aspect,combined_text,age_days,retrieval_score,rank,run
sample-a5,1005,503,Is it better to rent or buy a house?,Community question about is it better to rent or buy a house?,"Compare unrecoverable rent with mortgage interest, taxes, insurance, maintenance and transaction costs. Buying is not automatically better.",mortgage rent buy housing,28,True,6,31000,8,205,7600,2024-09-22 00:00:00+00:00,2024-09-22 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/503#answer-1005,mortgage,"Is it better to rent or buy a house? Community question about is it better to rent or buy a house? Compare unrecoverable rent with mortgage interest, taxes, insurance, maintenance and transaction costs. Buying is not automatically better. mortgage rent buy housing",617,18.110160576968227,1,bm25
sample-a6,1006,503,Is it better to rent or buy a house?,Community question about is it better to rent or buy a house?,Use a rent-vs-buy calculator and stress-test the result against moving within five years.,mortgage rent buy housing,12,False,1,31000,8,206,1800,2022-01-17 00:00:00+00:00,2022-01-17 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/503#answer-1006,mortgage,Is it better to rent or buy a house? Community question about is it better to rent or buy a house? Use a rent-vs-buy calculator and stress-test the result against moving within five years. mortgage rent buy housing,1596,17.939975578003722,2,bm25
sample-a3,1003,502,How much emergency fund should I keep?,Community question about how much emergency fund should i keep?,A common rule is three to six months of essential expenses. Keep it liquid in a high-yield savings account rather than volatile investments.,emergency-fund saving budgeting,35,True,4,22000,5,203,9100,2025-02-12 00:00:00+00:00,2025-02-12 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/502#answer-1003,saving,How much emergency fund should I keep? Community question about how much emergency fund should i keep? A common rule is three to six months of essential expenses. Keep it liquid in a high-yield savings account rather than volatile investments. emergency-fund saving budgeting,474,3.5663962159139917,3,bm25
sample-a17,1017,509,Should I keep cash or buy bonds for short-term savings?,Community question about should i keep cash or buy bonds for short-term savings?,"For short horizons, safety and liquidity matter more than yield. Treasury bills or high-yield savings can fit depending on access needs.",saving bonds treasury emergency-fund,24,True,4,17000,4,217,11500,2025-02-20 00:00:00+00:00,2025-02-20 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/509#answer-1017,saving,"Should I keep cash or buy bonds for short-term savings? Community question about should i keep cash or buy bonds for short-term savings? For short horizons, safety and liquidity matter more than yield. Treasury bills or high-yield savings can fit depending on access needs. saving bonds treasury emergency-fund",466,3.5662257280418888,4,bm25
sample-a15,1015,508,Is dollar cost averaging better than lump sum investing?,Community question about is dollar cost averaging better than lump sum investing?,"Historically lump sum often has higher expected return, but dollar cost averaging can reduce regret and timing risk.",investing dollar-cost-averaging risk,18,True,2,14000,3,215,9700,2023-10-11 00:00:00+00:00,2023-10-11 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/508#answer-1015,investing,"Is dollar cost averaging better than lump sum investing? Community question about is dollar cost averaging better than lump sum investing? Historically lump sum often has higher expected return, but dollar cost averaging can reduce regret and timing risk. investing dollar-cost-averaging risk",964,3.127881156965255,5,bm25
sample-a12,1012,506,What should I do if I think an investment is a scam?,Community question about what should i do if i think an investment is a scam?,High guaranteed returns and pressure to act quickly are warning signs. A cautious answer is more useful than optimism here.,scam fraud risk investing,21,False,3,52000,9,212,6200,2024-06-14 00:00:00+00:00,2024-06-14 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/506#answer-1012,risk,What should I do if I think an investment is a scam? Community question about what should i do if i think an investment is a scam? High guaranteed returns and pressure to act quickly are warning signs. A cautious answer is more useful than optimism here. scam fraud risk investing,717,2.311916334369526,6,bm25
sample-a1,1001,501,Should I pay off credit card debt before investing?,Community question about should i pay off credit card debt before investing?,Pay off high-interest credit card debt before investing. A guaranteed 20% avoided interest cost is usually better than uncertain market returns.,credit-card debt investing,42,True,8,18000,6,201,5800,2025-04-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/501#answer-1001,debt,Should I pay off credit card debt before investing? Community question about should i pay off credit card debt before investing? Pay off high-interest credit card debt before investing. A guaranteed 20% avoided interest cost is usually better than uncertain market returns. credit-card debt investing,426,2.1681830010889365,7,bm25
sample-a4,1004,502,How much emergency fund should I keep?,Community question about how much emergency fund should i keep?,"If your job is unstable or your expenses are irregular, choose the larger end of the emergency fund range.",emergency-fund saving budgeting,16,False,2,22000,5,204,2100,2023-08-09 00:00:00+00:00,2023-08-09 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/502#answer-1004,saving,"How much emergency fund should I keep? Community question about how much emergency fund should i keep? If your job is unstable or your expenses are irregular, choose the larger end of the emergency fund range. emergency-fund saving budgeting",1027,1.6457215433339336,8,bm25
sample-a13,1013,507,Should I refinance my mortgage?,Community question about should i refinance my mortgage?,Refinance when the interest savings exceed closing costs and you expect to keep the loan long enough to break even.,mortgage refinance interest-rate,26,True,3,16000,3,213,4900,2024-10-02 00:00:00+00:00,2024-10-02 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/507#answer-1013,mortgage,Should I refinance my mortgage? Community question about should i refinance my mortgage? Refinance when the interest savings exceed closing costs and you expect to keep the loan long enough to break even. mortgage refinance interest-rate,607,1.597532051601762,9,bm25
sample-a10,1010,505,Should I invest in ETFs or individual stocks?,Community question about should i invest in etfs or individual stocks?,"Individual stocks can be appropriate if you understand concentration risk, portfolio sizing and tax implications.",etf stocks investing diversification,14,False,4,41000,7,210,17500,2024-01-05 00:00:00+00:00,2024-01-05 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/505#answer-1010,investing,"Should I invest in ETFs or individual stocks? Community question about should i invest in etfs or individual stocks? Individual stocks can be appropriate if you understand concentration risk, portfolio sizing and tax implications. etf stocks investing diversification",878,1.1777251188654148,10,bm25
