doc_id,answer_id,question_id,title,question_body,answer_body,tags,answer_score,accepted_answer,comment_count,question_view_count,answer_count,owner_user_id,question_owner_user_id,commenter_user_ids,author_reputation,creation_date,last_activity_date,source,url,aspect,combined_text,age_days,retrieval_score,rank,run,topical_score,community_score,engagement_score,credibility_score,author_influence_score,freshness_score,tag_match_score,sentiment_alignment_score,clarity_score,technical_score,risk_warning_score,final_score
sample-a1016,1016,508,What records do I need for investment taxes?,Community question about what records do i need for investment taxes?,"Keep trade confirmations, cost basis, dividend statements and broker 1099s; reconstruct basis before you sell.",tax investing capital-gains,54,True,8,16973,2,302,409,409 303,38000,2024-11-15 00:00:00+00:00,2024-11-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/508#answer-1016,tax,"What records do I need for investment taxes? Community question about what records do i need for investment taxes? Keep trade confirmations, cost basis, dividend statements and broker 1099s; reconstruct basis before you sell. tax investing capital-gains",565,16.29582712771861,1,social_default,0.9583305033624714,0.9695419433788933,0.7279298709930571,0.9800976854573569,0.6073397326783032,0.46117735003146915,0.0,0.8,0.3742064206407163,0.5,0.0,0.8425573796395074
sample-a1017,1017,508,What records do I need for investment taxes?,Community question about what records do i need for investment taxes?,"Most brokers track basis now, but verify it for transferred or inherited positions.",tax investing capital-gains,25,False,3,16973,2,311,409,409 301 303,5000,2023-03-15 00:00:00+00:00,2023-03-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/508#answer-1017,tax,"What records do I need for investment taxes? Community question about what records do i need for investment taxes? Most brokers track basis now, but verify it for transferred or inherited positions. tax investing capital-gains",1176,17.004391564853492,2,social_default,1.0,0.21063714399285743,0.4822663911517948,0.44891483292365525,0.13115197206155746,0.199696032889225,0.0,0.8,0.7645318792403784,0.5,0.0,0.6535038099507704
sample-a1025,1025,512,What should I do if I think an investment is a scam?,Community question about what should i do if i think an investment is a scam?,"Stop sending money, preserve all records, verify registration with the regulator, and report the suspected fraud.",scam fraud risk investing,43,True,1,39073,2,303,413,413,35000,2024-08-15 00:00:00+00:00,2024-08-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/512#answer-1025,risk,"What should I do if I think an investment is a scam? Community question about what should i do if i think an investment is a scam? Stop sending money, preserve all records, verify registration with the regulator, and report the suspected fraud. scam fraud risk investing",657,6.941765895258165,3,social_default,0.4082337123785219,0.8727313075427394,0.39857611577887336,0.9585578348810901,0.6058366294295915,0.4065696597405991,0.0,0.8,0.3368587521031371,0.25,0.75,0.5296354800295655
sample-a1039,1039,519,Do I need a financial advisor?,Community question about do i need a financial advisor?,"A fee-only fiduciary helps with complex tax, estate or retirement planning; simple investing may only need a low-cost index fund.",advisor investing retirement fees,58,True,3,27199,2,301,420,420 303 302,41000,2024-09-15 00:00:00+00:00,2024-09-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/519#answer-1039,investing,"Do I need a financial advisor? Community question about do i need a financial advisor? A fee-only fiduciary helps with complex tax, estate or retirement planning; simple investing may only need a low-cost index fund. advisor investing retirement fees",626,5.052327000550622,4,social_default,0.2971189519649333,1.0,0.5536897596533992,1.0,1.0,0.42420678312940124,0.0,0.7,0.15292864762659397,0.75,0.0,0.5279912007181408
sample-a1018,1018,509,Should I invest in ETFs or individual stocks?,Community question about should i invest in etfs or individual stocks?,"For most investors, diversified low-cost ETFs cut idiosyncratic risk and need less monitoring than single stocks.",etf stocks investing diversification,47,True,4,46608,3,301,410,410 302,41000,2023-07-15 00:00:00+00:00,2023-07-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/509#answer-1018,investing,"Should I invest in ETFs or individual stocks? Community question about should i invest in etfs or individual stocks? For most investors, diversified low-cost ETFs cut idiosyncratic risk and need less monitoring than single stocks. etf stocks investing diversification",1054,3.590771306918217,5,social_default,0.21116729129785566,0.9104811178407926,0.7900177536693355,1.0,1.0,0.23602073528515033,0.0,0.7,0.3368587521031371,0.75,0.25,0.4772531041310564
sample-a1027,1027,513,How do I avoid investment fraud?,Community question about how do i avoid investment fraud?,"Check the seller's registration, be sceptical of guaranteed returns, and never let urgency rush a decision.",scam fraud risk,40,True,3,41838,2,303,414,414 302,35000,2023-12-15 00:00:00+00:00,2023-12-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/513#answer-1027,risk,"How do I avoid investment fraud? Community question about how do i avoid investment fraud? Check the seller's registration, be sceptical of guaranteed returns, and never let urgency rush a decision. scam fraud risk",901,4.673749890588433,6,social_default,0.27485546147082635,0.8420939373703941,0.6189146254314809,0.9585578348810901,0.6058366294295915,0.29105396701581177,0.0,0.6,0.41257743929427604,0.0,1.0,0.4561016486945064
sample-a1026,1026,512,What should I do if I think an investment is a scam?,Community question about what should i do if i think an investment is a scam?,Guaranteed high returns and pressure to act fast are classic warning signs; a cautious answer beats optimism here.,scam fraud risk investing,29,False,1,39073,2,303,413,413,35000,2025-06-15 00:00:00+00:00,2025-06-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/512#answer-1026,risk,What should I do if I think an investment is a scam? Community question about what should i do if i think an investment is a scam? Guaranteed high returns and pressure to act fast are classic warning signs; a cautious answer beats optimism here. scam fraud risk investing,353,6.8817468680327,7,social_default,0.40470409316241784,0.27272132065829097,0.39857611577887336,0.9585578348810901,0.6058366294295915,0.616583425826371,0.0,0.8,0.32462763006570405,0.25,1.0,0.4543699605619792
sample-a1024,1024,511,What fees matter when choosing an ETF?,Community question about what fees matter when choosing an etf?,A 0.5% vs 0.05% expense ratio compounds into a large gap over decades.,etf investing fees,44,True,3,45144,2,301,412,412 303 302,41000,2023-11-15 00:00:00+00:00,2023-11-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/511#answer-1024,investing,What fees matter when choosing an ETF? Community question about what fees matter when choosing an etf? A 0.5% vs 0.05% expense ratio compounds into a large gap over decades. etf investing fees,931,2.959566032219587,8,social_default,0.17404715840211166,0.8824811365262734,0.6304340248977591,1.0,1.0,0.27933528906869687,0.0,0.8,1.0,0.5,0.0,0.4523637442620345
sample-a1010,1010,505,Is it better to rent or buy a house?,Community question about is it better to rent or buy a house?,"Compare unrecoverable costs: rent vs mortgage interest, taxes, insurance, maintenance and transaction costs. Buying is not automatically better.",mortgage rent buy housing,55,True,0,40044,2,301,406,,41000,2025-10-15 00:00:00+00:00,2025-10-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/505#answer-1010,mortgage,"Is it better to rent or buy a house? Community question about is it better to rent or buy a house? Compare unrecoverable costs: rent vs mortgage interest, taxes, insurance, maintenance and transaction costs. Buying is not automatically better. mortgage rent buy housing",231,2.4076943234338724,9,social_default,0.14159250063438636,0.9773592563339752,0.19231193773929434,1.0,1.0,0.7287399324998268,0.0,0.6,0.0,0.0,0.0,0.43560225909329875
sample-a1038,1038,518,Should I keep cash or buy bonds for short-term savings?,Community question about should i keep cash or buy bonds for short-term savings?,Match the bond maturity to when you need the money to avoid selling at a loss.,saving bonds treasury emergency-fund,39,True,8,48080,2,305,419,419 303 301,19000,2024-04-15 00:00:00+00:00,2024-04-15 00:00:00+00:00,offline.sample,https://money.stackexchange.com/questions/518#answer-1038,saving,Should I keep cash or buy bonds for short-term savings? Community question about should i keep cash or buy bonds for short-term savings? Match the bond maturity to when you need the money to avoid selling at a loss. saving bonds treasury emergency-fund,779,4.18922218738079,10,social_default,0.24636119271915177,0.8313810688548094,0.8856412702688785,0.7985500853118828,0.38642381445167767,0.3439966748905724,0.0,0.6,0.8504763007353824,0.25,0.25,0.4308459297964786
